region;dt;metric;value
Kaliningrad;2019-01-01;views;26011.0
Kaliningrad;2019-01-02;views;23158.0
Kaliningrad;2019-01-03;views;23413.0
Kaliningrad;2019-01-04;views;22534.0
Kaliningrad;2019-01-05;views;21431.0
Kaliningrad;2019-01-06;views;23524.0
Kaliningrad;2019-01-07;views;25079.0
Kaliningrad;2019-01-08;views;25417.0
Kaliningrad;2019-01-09;views;25330.0
Kaliningrad;2019-01-10;views;24495.0
Kaliningrad;2019-01-11;views;23941.0
Kaliningrad;2019-01-12;views;22861.0
Kaliningrad;2019-01-13;views;25152.0
Kaliningrad;2019-01-14;views;25509.0
Kaliningrad;2019-01-15;views;25121.0
Kaliningrad;2019-01-16;views;24725.0
Kaliningrad;2019-01-17;views;23208.0
Kaliningrad;2019-01-18;views;
Kaliningrad;2019-01-19;views;23731.0
Kaliningrad;2019-01-20;views;25641.0
Kaliningrad;2019-01-21;views;25050.0
Kaliningrad;2019-01-22;views;26280.0
Kaliningrad;2019-01-23;views;25873.0
Kaliningrad;2019-01-24;views;24160.0
Kaliningrad;2019-01-25;views;23226.0
Kaliningrad;2019-01-26;views;24251.0
Kaliningrad;2019-01-27;views;26334.0
Kaliningrad;2019-01-28;views;27237.0
Kaliningrad;2019-01-29;views;27676.0
Kaliningrad;2019-01-30;views;26959.0
Kaliningrad;2019-01-31;views;25863.0
Kaliningrad;2019-02-01;views;25429.0
Kaliningrad;2019-02-02;views;25947.0
Kaliningrad;2019-02-03;views;27757.0
Kaliningrad;2019-02-04;views;26590.0
Kaliningrad;2019-02-05;views;26841.0
Kaliningrad;2019-02-06;views;27071.0
Kaliningrad;2019-02-07;views;25697.0
Kaliningrad;2019-02-08;views;24290.0
Kaliningrad;2019-02-09;views;24840.0
Kaliningrad;2019-02-10;views;26614.0
Kaliningrad;2019-02-11;views;26349.0
Kaliningrad;2019-02-12;views;26380.0
Kaliningrad;2019-02-13;views;25466.0
Kaliningrad;2019-02-14;views;24806.0
Kaliningrad;2019-02-15;views;23838.0
Kaliningrad;2019-02-16;views;24556.0
Kaliningrad;2019-02-17;views;25803.0
Kaliningrad;2019-02-18;views;27341.0
Kaliningrad;2019-02-19;views;26922.0
Kaliningrad;2019-02-20;views;26197.0
Kaliningrad;2019-02-21;views;24961.0
Kaliningrad;2019-02-22;views;22844.0
Kaliningrad;2019-02-23;views;26898.0
Kaliningrad;2019-02-24;views;27774.0
Kaliningrad;2019-02-25;views;28055.0
Kaliningrad;2019-02-26;views;28237.0
Kaliningrad;2019-02-27;views;27799.0
Kaliningrad;2019-02-28;views;26267.0
Kaliningrad;2019-03-01;views;25489.0
Kaliningrad;2019-03-02;views;26329.0
Kaliningrad;2019-03-03;views;28125.0
Kaliningrad;2019-03-04;views;27748.0
Kaliningrad;2019-03-05;views;26569.0
Kaliningrad;2019-03-06;views;24317.0
Kaliningrad;2019-03-07;views;20856.0
Kaliningrad;2019-03-08;views;23441.0
Kaliningrad;2019-03-09;views;25854.0
Kaliningrad;2019-03-10;views;28365.0
Kaliningrad;2019-03-11;views;28692.0
Kaliningrad;2019-03-12;views;29148.0
Kaliningrad;2019-03-13;views;30073.0
Kaliningrad;2019-03-14;views;29029.0
Kaliningrad;2019-03-15;views;27231.0
Kaliningrad;2019-03-16;views;26144.0
Kaliningrad;2019-03-17;views;26737.0
Kaliningrad;2019-03-18;views;29174.0
Kaliningrad;2019-03-19;views;29229.0
Kaliningrad;2019-03-20;views;29401.0
Kaliningrad;2019-03-21;views;29614.0
Kaliningrad;2019-03-22;views;28037.0
Kaliningrad;2019-03-23;views;27982.0
Kaliningrad;2019-03-24;views;30763.0
Kaliningrad;2019-03-25;views;29784.0
Kaliningrad;2019-03-26;views;29875.0
Kaliningrad;2019-03-27;views;30122.0
Kaliningrad;2019-03-28;views;30943.0
Kaliningrad;2019-03-29;views;29550.0
Kaliningrad;2019-03-30;views;28487.0
Kaliningrad;2019-03-31;views;30320.0
Kaliningrad;2019-04-01;views;31819.0
Kaliningrad;2019-04-02;views;31969.0
Kaliningrad;2019-04-03;views;30645.0
Kaliningrad;2019-04-04;views;28317.0
Kaliningrad;2019-04-05;views;27346.0
Kaliningrad;2019-04-06;views;
Kaliningrad;2019-04-07;views;27625.0
Kaliningrad;2019-04-08;views;31039.0
Kaliningrad;2019-04-09;views;31274.0
Kaliningrad;2019-04-10;views;30429.0
Kaliningrad;2019-04-11;views;31123.0
Kaliningrad;2019-04-12;views;29426.0
Kaliningrad;2019-04-13;views;
Kaliningrad;2019-04-14;views;29900.0
Kaliningrad;2019-04-15;views;31261.0
Kaliningrad;2019-04-16;views;31701.0
Kaliningrad;2019-04-17;views;32973.0
Kaliningrad;2019-04-18;views;32715.0
Kaliningrad;2019-04-19;views;31432.0
Kaliningrad;2019-04-20;views;29614.0
Kaliningrad;2019-04-21;views;33739.0
Kaliningrad;2019-04-22;views;34151.0
Kaliningrad;2019-04-23;views;34451.0
Kaliningrad;2019-04-24;views;34352.0
Kaliningrad;2019-04-25;views;33062.0
Kaliningrad;2019-04-26;views;32020.0
Kaliningrad;2019-04-27;views;30638.0
Kaliningrad;2019-04-28;views;31178.0
Kaliningrad;2019-04-29;views;33380.0
Kaliningrad;2019-04-30;views;33256.0
Kaliningrad;2019-05-01;views;36319.0
Kaliningrad;2019-05-02;views;37855.0
Kaliningrad;2019-05-03;views;37087.0
Kaliningrad;2019-05-04;views;35474.0
Kaliningrad;2019-05-05;views;37634.0
Kaliningrad;2019-05-06;views;37942.0
Kaliningrad;2019-05-07;views;37312.0
Kaliningrad;2019-05-08;views;34003.0
Kaliningrad;2019-05-09;views;36253.0
Kaliningrad;2019-05-10;views;36281.0
Kaliningrad;2019-05-11;views;35771.0
Kaliningrad;2019-05-12;views;38853.0
Kaliningrad;2019-05-13;views;39751.0
Kaliningrad;2019-05-14;views;39574.0
Kaliningrad;2019-05-15;views;40467.0
Kaliningrad;2019-05-16;views;38881.0
Kaliningrad;2019-05-17;views;37949.0
Kaliningrad;2019-05-18;views;36354.0
Kaliningrad;2019-05-19;views;39840.0
Kaliningrad;2019-05-20;views;41883.0
Kaliningrad;2019-05-21;views;41735.0
Kaliningrad;2019-05-22;views;42110.0
Kaliningrad;2019-05-23;views;40418.0
Kaliningrad;2019-05-24;views;39194.0
Kaliningrad;2019-05-25;views;37809.0
Kaliningrad;2019-05-26;views;41795.0
Kaliningrad;2019-05-27;views;43075.0
Kaliningrad;2019-05-28;views;43546.0
Kaliningrad;2019-05-29;views;45327.0
Kaliningrad;2019-05-30;views;44469.0
Kaliningrad;2019-05-31;views;42559.0
Kaliningrad;2019-06-01;views;39715.0
Kaliningrad;2019-06-02;views;42927.0
Kaliningrad;2019-06-03;views;48087.0
Kaliningrad;2019-06-04;views;48459.0
Kaliningrad;2019-06-05;views;48273.0
Kaliningrad;2019-06-06;views;47034.0
Kaliningrad;2019-06-07;views;45557.0
Kaliningrad;2019-06-08;views;44220.0
Kaliningrad;2019-06-09;views;45763.0
Kaliningrad;2019-06-10;views;47596.0
Kaliningrad;2019-06-11;views;49563.0
Kaliningrad;2019-06-12;views;50934.0
Kaliningrad;2019-06-13;views;48775.0
Kaliningrad;2019-06-14;views;46592.0
Kaliningrad;2019-06-15;views;45518.0
Kaliningrad;2019-06-16;views;48059.0
Kaliningrad;2019-06-17;views;50481.0
Kaliningrad;2019-06-18;views;51218.0
Kaliningrad;2019-06-19;views;52426.0
Kaliningrad;2019-06-20;views;51237.0
Kaliningrad;2019-06-21;views;50291.0
Kaliningrad;2019-06-22;views;48451.0
Kaliningrad;2019-06-23;views;51249.0
Kaliningrad;2019-06-24;views;53399.0
Kaliningrad;2019-06-25;views;53598.0
Kaliningrad;2019-06-26;views;53880.0
Kaliningrad;2019-06-27;views;53037.0
Kaliningrad;2019-06-28;views;52708.0
Kaliningrad;2019-06-29;views;49150.0
Kaliningrad;2019-06-30;views;51338.0
Kaliningrad;2019-07-01;views;53962.0
Kaliningrad;2019-07-02;views;55289.0
Kaliningrad;2019-07-03;views;56689.0
Kaliningrad;2019-07-04;views;55041.0
Kaliningrad;2019-07-05;views;52677.0
Kaliningrad;2019-07-06;views;49213.0
Kaliningrad;2019-07-07;views;54021.0
Kaliningrad;2019-07-08;views;57407.0
Kaliningrad;2019-07-09;views;56638.0
Kaliningrad;2019-07-10;views;56843.0
Kaliningrad;2019-07-11;views;54918.0
Kaliningrad;2019-07-12;views;52970.0
Kaliningrad;2019-07-13;views;50893.0
Kaliningrad;2019-07-14;views;52620.0
Kaliningrad;2019-07-15;views;54718.0
Kaliningrad;2019-07-16;views;54933.0
Kaliningrad;2019-07-17;views;52882.0
Kaliningrad;2019-07-18;views;52694.0
Kaliningrad;2019-07-19;views;50191.0
Kaliningrad;2019-07-20;views;48262.0
Kaliningrad;2019-07-21;views;51205.0
Kaliningrad;2019-07-22;views;52452.0
Kaliningrad;2019-07-23;views;52272.0
Kaliningrad;2019-07-24;views;52593.0
Kaliningrad;2019-07-25;views;51553.0
Kaliningrad;2019-07-26;views;48719.0
Kaliningrad;2019-07-27;views;46621.0
Kaliningrad;2019-07-28;views;49254.0
Kaliningrad;2019-07-29;views;53817.0
Kaliningrad;2019-07-30;views;53595.0
Kaliningrad;2019-07-31;views;52449.0
Kaliningrad;2019-08-01;views;50735.0
Kaliningrad;2019-08-02;views;49033.0
Kaliningrad;2019-08-03;views;46494.0
Kaliningrad;2019-08-04;views;49173.0
Kaliningrad;2019-08-05;views;51295.0
Kaliningrad;2019-08-06;views;50881.0
Kaliningrad;2019-08-07;views;49527.0
Kaliningrad;2019-08-08;views;48469.0
Kaliningrad;2019-08-09;views;46477.0
Kaliningrad;2019-08-10;views;44308.0
Kaliningrad;2019-08-11;views;45887.0
Kaliningrad;2019-08-12;views;48140.0
Kaliningrad;2019-08-13;views;47717.0
Kaliningrad;2019-08-14;views;47044.0
Kaliningrad;2019-08-15;views;
Kaliningrad;2019-08-16;views;
Kaliningrad;2019-08-17;views;
Kaliningrad;2019-08-18;views;
Kaliningrad;2019-08-19;views;
Kaliningrad;2019-08-20;views;
Kaliningrad;2019-08-21;views;
Kaliningrad;2019-08-22;views;
Kaliningrad;2019-08-23;views;
Kaliningrad;2019-08-24;views;
Kaliningrad;2019-08-25;views;
Kaliningrad;2019-08-26;views;
Kaliningrad;2019-08-27;views;
Kaliningrad;2019-08-28;views;
Kaliningrad;2019-08-29;views;
Kaliningrad;2019-08-30;views;
Kaliningrad;2019-08-31;views;39009.0
Kaliningrad;2019-09-01;views;42700.0
Kaliningrad;2019-09-02;views;41293.0
Kaliningrad;2019-09-03;views;40507.0
Kaliningrad;2019-09-04;views;42101.0
Kaliningrad;2019-09-05;views;39508.0
Kaliningrad;2019-09-06;views;46052.0
Kaliningrad;2019-09-07;views;37683.0
Kaliningrad;2019-09-08;views;37989.0
Kaliningrad;2019-09-09;views;37045.0
Kaliningrad;2019-09-10;views;40400.0
Kaliningrad;2019-09-11;views;35948.0
Kaliningrad;2019-09-12;views;34764.0
Kaliningrad;2019-09-13;views;34055.0
Kaliningrad;2019-09-14;views;31870.0
Kaliningrad;2019-09-15;views;33854.0
Kaliningrad;2019-09-16;views;34260.0
Kaliningrad;2019-09-17;views;32469.0
Kaliningrad;2019-09-18;views;30801.0
Kaliningrad;2019-09-19;views;31338.0
Kaliningrad;2019-09-20;views;33235.0
Kaliningrad;2019-09-21;views;28554.0
Kaliningrad;2019-09-22;views;35396.0
Kaliningrad;2019-09-23;views;30422.0
Kaliningrad;2019-09-24;views;30988.0
Kaliningrad;2019-09-25;views;32007.0
Kaliningrad;2019-09-26;views;28637.0
Kaliningrad;2019-09-27;views;23892.0
Kaliningrad;2019-09-28;views;23246.0
Kaliningrad;2019-09-29;views;24728.0
Kaliningrad;2019-09-30;views;25717.0
Kaliningrad;2019-10-01;views;25504.0
Kaliningrad;2019-10-02;views;24621.0
Kaliningrad;2019-10-03;views;23351.0
Kaliningrad;2019-10-04;views;22378.0
Kaliningrad;2019-10-05;views;21234.0
Kaliningrad;2019-10-06;views;22417.0
Kaliningrad;2019-10-07;views;23732.0
Kaliningrad;2019-10-08;views;23605.0
Kaliningrad;2019-10-09;views;23333.0
Kaliningrad;2019-10-10;views;22674.0
Kaliningrad;2019-10-11;views;22159.0
Kaliningrad;2019-10-12;views;21125.0
Kaliningrad;2019-10-13;views;22175.0
Kaliningrad;2019-10-14;views;23699.0
Kaliningrad;2019-10-15;views;23580.0
Kaliningrad;2019-10-16;views;23196.0
Kaliningrad;2019-10-17;views;22873.0
Kaliningrad;2019-10-18;views;21921.0
Kaliningrad;2019-10-19;views;21131.0
Kaliningrad;2019-10-20;views;22291.0
Kaliningrad;2019-10-21;views;23549.0
Kaliningrad;2019-10-22;views;23084.0
Kaliningrad;2019-10-23;views;
Kaliningrad;2019-10-24;views;19819.0
Kaliningrad;2019-10-25;views;19580.0
Kaliningrad;2019-10-26;views;20184.0
Kaliningrad;2019-10-27;views;21249.0
Kaliningrad;2019-10-28;views;22381.0
Kaliningrad;2019-10-29;views;22427.0
Kaliningrad;2019-10-30;views;22703.0
Kaliningrad;2019-10-31;views;21933.0
Kaliningrad;2019-11-01;views;21545.0
Kaliningrad;2019-11-02;views;20660.0
Kaliningrad;2019-11-03;views;20332.0
Kaliningrad;2019-11-04;views;22639.0
Kaliningrad;2019-11-05;views;22814.0
Kaliningrad;2019-11-06;views;22450.0
Kaliningrad;2019-11-07;views;21790.0
Kaliningrad;2019-11-08;views;21325.0
Kaliningrad;2019-11-09;views;20355.0
Kaliningrad;2019-11-10;views;21724.0
Kaliningrad;2019-11-11;views;22671.0
Kaliningrad;2019-11-12;views;22300.0
Kaliningrad;2019-11-13;views;21865.0
Kaliningrad;2019-11-14;views;20604.0
Kaliningrad;2019-11-15;views;20051.0
Kaliningrad;2019-11-16;views;19417.0
Kaliningrad;2019-11-17;views;20561.0
Kaliningrad;2019-11-18;views;22173.0
Kaliningrad;2019-11-19;views;
Kaliningrad;2019-11-20;views;
Kaliningrad;2019-11-21;views;
Kaliningrad;2019-11-22;views;20129.0
Kaliningrad;2019-11-23;views;19892.0
Kaliningrad;2019-11-24;views;
Kaliningrad;2019-11-25;views;22433.0
Kaliningrad;2019-11-26;views;23425.0
Kaliningrad;2019-11-27;views;22597.0
Kaliningrad;2019-11-28;views;22076.0
Kaliningrad;2019-11-29;views;21570.0
Kaliningrad;2019-11-30;views;21398.0
Kaliningrad;2019-12-01;views;22869.0
Kaliningrad;2019-12-02;views;23421.0
Kaliningrad;2019-12-03;views;22892.0
Kaliningrad;2019-12-04;views;22645.0
Kaliningrad;2019-12-05;views;22027.0
Kaliningrad;2019-12-06;views;21950.0
Kaliningrad;2019-12-07;views;21611.0
Kaliningrad;2019-12-08;views;23594.0
Kaliningrad;2019-12-09;views;24175.0
Kaliningrad;2019-12-10;views;23514.0
Kaliningrad;2019-12-11;views;23397.0
Kaliningrad;2019-12-12;views;22729.0
Kaliningrad;2019-12-13;views;22185.0
Kaliningrad;2019-12-14;views;21730.0
Kaliningrad;2019-12-15;views;23310.0
Kaliningrad;2019-12-16;views;24021.0
Kaliningrad;2019-12-17;views;23513.0
Kaliningrad;2019-12-18;views;23242.0
Kaliningrad;2019-12-19;views;22915.0
Kaliningrad;2019-12-20;views;21702.0
Kaliningrad;2019-12-21;views;21164.0
Kaliningrad;2019-12-22;views;23261.0
Kaliningrad;2019-12-23;views;23690.0
Kaliningrad;2019-12-24;views;23634.0
Kaliningrad;2019-12-25;views;22798.0
Kaliningrad;2019-12-26;views;21868.0
Kaliningrad;2019-12-27;views;21621.0
Kaliningrad;2019-12-28;views;21298.0
Kaliningrad;2019-12-29;views;21595.0
Kaliningrad;2019-12-30;views;17301.0
Kaliningrad;2019-12-31;views;21049.0
Kaliningrad;2020-01-01;views;21621.0
Kaliningrad;2020-01-02;views;24585.0
Kaliningrad;2020-01-03;views;25119.0
Kaliningrad;2020-01-04;views;24832.0
Kaliningrad;2020-01-05;views;24114.0
Kaliningrad;2020-01-06;views;24901.0
Kaliningrad;2020-01-07;views;26137.0
Kaliningrad;2020-01-08;views;26524.0
Kaliningrad;2020-01-09;views;26818.0
Kaliningrad;2020-01-10;views;26255.0
Kaliningrad;2020-01-11;views;25676.0
Kaliningrad;2020-01-12;views;25552.0
Kaliningrad;2020-01-13;views;26504.0
Kaliningrad;2020-01-14;views;26665.0
Kaliningrad;2020-01-15;views;26194.0
Kaliningrad;2020-01-16;views;25743.0
Kaliningrad;2020-01-17;views;24999.0
Kaliningrad;2020-01-18;views;24385.0
Kaliningrad;2020-01-19;views;25394.0
Kaliningrad;2020-01-20;views;27023.0
Kaliningrad;2020-01-21;views;26499.0
Kaliningrad;2020-01-22;views;27108.0
Kaliningrad;2020-01-23;views;26607.0
Kaliningrad;2020-01-24;views;25933.0
Kaliningrad;2020-01-25;views;25442.0
Kaliningrad;2020-01-26;views;26769.0
Kaliningrad;2020-01-27;views;28286.0
Kaliningrad;2020-01-28;views;28575.0
Kaliningrad;2020-01-29;views;28404.0
Kaliningrad;2020-01-30;views;27840.0
Kaliningrad;2020-01-31;views;27286.0
Kaliningrad;2020-02-01;views;26901.0
Kaliningrad;2020-02-02;views;27830.0
Kaliningrad;2020-02-03;views;29429.0
Kaliningrad;2020-02-04;views;28607.0
Kaliningrad;2020-02-05;views;28210.0
Kaliningrad;2020-02-06;views;28397.0
Kaliningrad;2020-02-07;views;27891.0
Kaliningrad;2020-02-08;views;27001.0
Kaliningrad;2020-02-09;views;27968.0
Kaliningrad;2020-02-10;views;28824.0
Kaliningrad;2020-02-11;views;28505.0
Kaliningrad;2020-02-12;views;28058.0
Kaliningrad;2020-02-13;views;27213.0
Kaliningrad;2020-02-14;views;26872.0
Kaliningrad;2020-02-15;views;26422.0
Kaliningrad;2020-02-16;views;27167.0
Kaliningrad;2020-02-17;views;28025.0
Kaliningrad;2020-02-18;views;28688.0
Kaliningrad;2020-02-19;views;28342.0
Kaliningrad;2020-02-20;views;27474.0
Kaliningrad;2020-02-21;views;26534.0
Kaliningrad;2020-02-22;views;25248.0
Kaliningrad;2020-02-23;views;27722.0
Kaliningrad;2020-02-24;views;29520.0
Kaliningrad;2020-02-25;views;29532.0
Kaliningrad;2020-02-26;views;29129.0
Kaliningrad;2020-02-27;views;28178.0
Kaliningrad;2020-02-28;views;
Kaliningrad;2020-02-29;views;27564.0
Kaliningrad;2020-03-01;views;28296.0
Kaliningrad;2020-03-02;views;29252.0
Kaliningrad;2020-03-03;views;28550.0
Kaliningrad;2020-03-04;views;27197.0
Kaliningrad;2020-03-05;views;25511.0
Kaliningrad;2020-03-06;views;22963.0
Kaliningrad;2020-03-07;views;23197.0
Kaliningrad;2020-03-08;views;27794.0
Kaliningrad;2020-03-09;views;29894.0
Kaliningrad;2020-03-10;views;30460.0
Kaliningrad;2020-03-11;views;30281.0
Kaliningrad;2020-03-12;views;30376.0
Kaliningrad;2020-03-13;views;29922.0
Kaliningrad;2020-03-14;views;29727.0
Kaliningrad;2020-03-15;views;28933.0
Kaliningrad;2020-03-16;views;29091.0
Kaliningrad;2020-03-17;views;30776.0
Kaliningrad;2020-03-18;views;30241.0
Kaliningrad;2020-03-19;views;30009.0
Kaliningrad;2020-03-20;views;30497.0
Kaliningrad;2020-03-21;views;30116.0
Kaliningrad;2020-03-22;views;29897.0
Kaliningrad;2020-03-23;views;31935.0
Kaliningrad;2020-03-24;views;31014.0
Kaliningrad;2020-03-25;views;30067.0
Kaliningrad;2020-03-26;views;29860.0
Kaliningrad;2020-03-27;views;30774.0
Kaliningrad;2020-03-28;views;29848.0
Kaliningrad;2020-03-29;views;28857.0
Kaliningrad;2020-03-30;views;29673.0
Kaliningrad;2020-03-31;views;30355.0
Kaliningrad;2020-04-01;views;30484.0
Kaliningrad;2020-04-02;views;
Kaliningrad;2020-04-03;views;28750.0
Kaliningrad;2020-04-04;views;28832.0
Kaliningrad;2020-04-05;views;28293.0
Kaliningrad;2020-04-06;views;
Kaliningrad;2020-04-07;views;
Kaliningrad;2020-04-08;views;30796.0
Kaliningrad;2020-04-09;views;30132.0
Kaliningrad;2020-04-10;views;31025.0
Kaliningrad;2020-04-11;views;30273.0
Kaliningrad;2020-04-12;views;30395.0
Kaliningrad;2020-04-13;views;31248.0
Kaliningrad;2020-04-14;views;32183.0
Kaliningrad;2020-04-15;views;32069.0
Kaliningrad;2020-04-16;views;32342.0
Kaliningrad;2020-04-17;views;32894.0
Kaliningrad;2020-04-18;views;32879.0
Kaliningrad;2020-04-19;views;31736.0
Kaliningrad;2020-04-20;views;33796.0
Kaliningrad;2020-04-21;views;33943.0
Kaliningrad;2020-04-22;views;33963.0
Kaliningrad;2020-04-23;views;33778.0
Kaliningrad;2020-04-24;views;33570.0
Kaliningrad;2020-04-25;views;33650.0
Kaliningrad;2020-04-26;views;32386.0
Kaliningrad;2020-04-27;views;32753.0
Kaliningrad;2020-04-28;views;34188.0
Kaliningrad;2020-04-29;views;33512.0
Kaliningrad;2020-04-30;views;34032.0
Kaliningrad;2020-05-01;views;35643.0
